DMCODE,GiessenErgebnis,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23349960160106,0,N33,169,0,521.8,528.8,524.6,521.4,529.2,524.4,335.4,60.6,72.8,331.775,31.9,1.08,0.96,0.72,0.020761905,369.1
23349970160106,0,N33,167,0,522,528,524.8,521.2,529.6,524,342.2,60.6,75.9,331.775,32.3,1.04,0.94,0.72,0,375.1
23350000160106,0,N33,165,0,522,528,524.6,521.4,529,524.4,347.8,60,74.1,331.775,32.3,1,0.92,0.72,0.020761905,381.6
23350100160106,0,N33,184,0,521.8,528,524.6,521.2,528.8,524.2,352.8,60.6,75.9,331.775,31.4,1,0.92,0.72,0.020761905,386.6
23350110160106,0,N33,155,0,522,528,524.6,521.8,528.8,524.6,356,59.3,72.5,331.775,31.3,1,0.98,0.72,0.020761905,390.4
23350190160106,0,N33,216,3,521.4,528.2,524.4,521,529.4,524,341,60.6,74.1,331.775,31.4,1,0,0.72,0.020761905,372.9
23350200160106,0,N33,149,3,522,527.8,524.6,521.8,528.8,524.2,349.4,59.3,74.6,331.775,31.4,1.02,0.94,0.72,0.020761905,383.8
23350210160106,0,N33,151,3,522,527.8,524.6,522,528.6,524.4,353.2,60.6,74.6,331.775,31.3,1,0.9,0.74,0.020761905,387.7
23350250160106,0,N33,171,3,522,528,524.4,521.8,528.8,524.2,355.4,60.6,74.1,331.775,31,1.02,0.92,0.72,0.020761905,389.3
23350300160106,0,N33,176,3,522,528,524.6,521.8,528.8,524.2,357.6,58.6,72,331.775,31.2,1.02,0.94,0.7,0,392
23350320160106,0,N33,1434,0,648.6,655.8,649.6,651.2,655.8,650,282.4,3.3,3.2,381.8275862,31.3,1,0,0.72,0.020761905,314.2
23350530160106,0,N33,142,0,522.2,527.6,524.8,521.8,528.4,524.2,356.6,60.1,74.5,331.775,31.4,1,0.9,0.72,0.020761905,391.5
23350610160106,0,N33,1419,0,524.6,529,524.8,523.6,531.2,524.6,293,58,3.3,331.775,31.4,1.1,0,0.72,0.020761905,322.6
23350620160106,0,N33,145,0,522.6,528.4,524.8,521.8,530,524.8,328.8,59.3,3.3,331.775,31.4,1.02,0.9,0.72,0,360.3
23350670160106,0,N33,4543,0,547,624,624,542.8,624,624,235.4,60.6,3.3,381.8275862,32.7,1.06,0.94,0.72,0.020761905,251.5
23350680160106,1,N33,19059,0,631.2,658.2,656.8,611.6,655,655,203.2,3.2,3,381.8275862,1.2,0,0.426976744,0.02,0.020761905,240
23350680160106,1,N33,19059,0,631.2,658.2,656.8,611.6,655,655,203.2,3.2,3,381.8275862,1.2,0,0.426976744,0.02,0.020761905,240
23350680160106,1,N33,19059,0,631.2,658.2,656.8,611.6,655,655,203.2,3.2,3,381.8275862,1.2,0,0.426976744,0.02,0.020761905,240
23350680160106,1,N33,19059,0,631.2,658.2,656.8,611.6,655,655,203.2,3.2,3,381.8275862,1.2,0,0.426976744,0.02,0.020761905,240
23350680160106,1,N33,19059,0,631.2,658.2,656.8,611.6,655,655,203.2,3.2,3,381.8275862,1.2,0,0.426976744,0.02,0.020761905,240
23350710160106,0,N33,203,0,626.2,626.2,524.2,622.2,622.2,524.2,322.6,59.3,72.8,381.8275862,31.4,1,0.94,0.72,0.020761905,357.6
23350750170106,0,N33,171,0,521.8,528,524.6,521.4,529.2,524.4,340.4,60.6,75.4,331.775,31.4,1,0.9,0.7,0,375.1
23350770170106,0,N33,154,0,647,647,524.2,647.8,647.8,524.2,325.8,60.6,72.8,381.8275862,31.4,1.04,0.94,0.72,0.020761905,363.1
23350820170106,0,N33,164,0,522,527.6,524.8,521.2,528.8,524.6,356.6,59.2,72,331.775,31.1,1.04,0.94,0.7,0.020761905,391.5
23350990170106,0,N33,162,0,522,528,524.6,521.6,528.6,524.2,359.8,59.3,72.8,331.775,31.4,0.96,0.9,0.68,0.020761905,395.9
23351180170106,0,N33,162,0,521.6,527.6,524.4,522,528.6,524.6,362.6,60,74.1,385.8,31.4,0.98,0.9,0.7,0.020761905,396.9
23351190170106,0,N33,146,0,522,527.8,524.6,522,528.2,524.6,363.6,60.6,74.1,385.8,31.4,1.02,0.92,0.7,0,399.7
23351270170106,0,N33,190,0,521.8,527.8,524.6,521.2,529,524.6,355.4,58,73.3,331.775,31.3,1,0.92,0.7,0.020761905,388.2
23351280170106,0,N33,165,0,521.4,528,524.4,521.8,528.6,524.4,357,58,74.1,331.775,32.4,0.98,0.9,0.7,0.020761905,392
23351290170106,0,N33,212,0,521.8,528.6,526.8,521.2,529,527.2,354.4,59.3,74,331.775,31.3,0.98,0.9,0.72,0.020761905,387.1
23351550170106,0,N33,238,0,521.6,528.8,524.8,521.4,529.6,524.2,340.4,60.1,74,331.775,31.4,1.02,0.96,0.72,0,371.3
23351570170106,0,N33,193,0,521.8,528.4,524.8,521.4,529,524.6,348.2,58.6,74,331.775,32.4,1,0.94,0.72,0.020761905,381.1
23351810170106,0,N33,228,0,521.8,528,524.8,521.4,529,524.8,347.8,59.2,72.8,331.775,31.4,1.06,0,0.7,0,378.9
23351990180106,1,N33,189,0,521.6,528,524.8,521.6,528.8,524.6,351.6,59.2,74.6,331.775,31.3,0.98,0.9,0.68,0,385.5
23351990180106,1,N33,189,0,521.6,528,524.8,521.6,528.8,524.6,351.6,59.2,74.6,331.775,31.3,0.98,0.9,0.68,0,385.5
23351990180106,1,N33,189,0,521.6,528,524.8,521.6,528.8,524.6,351.6,59.2,74.6,331.775,31.3,0.98,0.9,0.68,0,385.5
23351990180106,1,N33,189,0,521.6,528,524.8,521.6,528.8,524.6,351.6,59.2,74.6,331.775,31.3,0.98,0.9,0.68,0,385.5
23351990180106,1,N33,189,0,521.6,528,524.8,521.6,528.8,524.6,351.6,59.2,74.6,331.775,31.3,0.98,0.9,0.68,0,385.5
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352010180106,0,N33,5338,0,623.6,656.6,656.6,611.8,651,651,241.6,3.3,3.3,381.8275862,31.5,1.12,0.96,0.02,0.020761905,267.8
23352030180106,0,N33,208,0,517.6,528.4,524.6,517.6,529.6,524.6,320.8,59.7,73.3,331.775,31.5,1.04,0.94,0.72,0.020761905,352.7
23352180180106,0,N33,178,0,521.8,527.8,524.6,521.8,528.8,524.6,338.8,56.8,70.7,331.775,31.4,1,0.92,0.7,0,372.4
23352190180106,0,N33,204,0,521.6,528,525,521.4,529,524.6,343.8,59.8,75.1,331.775,31,1.02,0.94,0.7,0,375.6
23352200180106,0,N33,173,0,522,528,525,522,528.6,524.4,349.8,57.9,74.1,331.775,31,1,0.9,0.74,0.020761905,382.7
23352250180106,0,N33,220,0,521.8,528.6,525,521.6,529.2,524.6,348.8,55.9,70.7,331.775,31.2,1.04,0.94,0.72,0.020761905,381.1
23352290180106,0,N33,215,0,521.8,528.6,524.8,521.8,528.8,524.6,351,59.2,73,331.775,32.4,1.02,0.94,0.72,0,384.4
23352330180106,0,N33,199,3,521.6,527.6,524.8,521.6,528.6,524.6,341,57.9,72.8,331.775,31.4,1.02,0.94,0.74,0.020761905,376.2
23352380180106,0,N33,188,3,521.4,528,524.8,521.2,529.2,525,353.8,58.2,72.8,331.775,31.4,1.02,0.94,0.72,0.020761905,387.7
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
