DMCODE,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23350680160106,N33,19059,0,631.2,658.2,656.8,611.6,655,655,203.2,3.2,3,2305:12:02,1.2,0,0.426976744,0.02,0.020761905, 
23352860180106,N33,224,0,521.8,528.2,525,521.2,529.4,524.6,347.2,58.5,74.1,5:43:55,32.7,1,0.92,0.68,0.020761905,6:18:04
23352940190106,N33,194,0,521.8,528,524.8,521.6,529,524.6,352.2,60.5,75.1,5:43:55,31.4,1,0.92,0.66,0.020761905,6:25:05
23353020190106,N33,1104,0,652,655,648.4,651,655.8,649,304.2,3.3,3.4,2305:12:02,32.4,1,0,0.68,0.020761905,5:38:02
23353070190106,N33,188,0,521.6,528,525,521.6,528.6,524.8,355.4,58.5,73.3,5:43:55,31.4,0.98,0.92,0.68,0.020761905,6:28:07
23353110190106,N33,227,0,521.6,528,524.8,521.4,528.8,524.6,352.8,57.9,72,5:43:55,31.4,0.98,0.92,0.68,0.020761905,6:24:09
23353190190106,N33,209,0,648.4,653.2,524.6,646.2,653.8,524.8,353.2,56.6,74.3,2305:12:02,32.4,1,0.92,0.68,0.020761905,6:29:03
23353220190106,N33,249,0,522,528.2,524.8,522,529,524.6,349.8,57.9,72,5:43:55,31,1,0.94,0.68,0.020761905,6:21:01
23353230190106,N33,217,0,522,528,524.8,521.6,528.8,524.6,351,59.2,75.6,5:43:55,31.2,1,0.94,0.66,0.020761905,6:23:03
23353240190106,N33,196,0,521.8,528.6,524.8,521.6,528.8,524.6,352.8,57.9,72.8,5:43:55,31.4,0.98,0.9,0.68,0.020761905,6:25:05
23353250190106,N33,186,0,521.8,528.2,524.8,521.4,529,524.6,357.6,58,74.6,5:43:55,31,1,0.92,0.66,0,6:28:07
23353260190106,N33,199,0,521.2,528.2,525,521.6,528.8,524.6,357.6,57.9,73.4,5:43:55,31.3,1,0.92,0.66,0.020761905,6:30:09
23353290190106,N33,1245,0,645.6,661.6,648.4,645.8,662.8,649.4,287.4,3.3,70.2,2305:12:02,31.4,1.02,0,0.66,0,5:18:07
23353430190106,N33,1470,0,524,529.2,524.8,523.8,531,524.8,291.2,3.4,3.4,5:43:55,31.4,1.1,0,0.68,0.020761905, 
23353460190106,N33,163,0,522.2,528,525,521.8,529,524.8,346.6,57.9,73.2,5:43:55,31.1,1,0.92,0.68,0, 
23353590190106,N33,198,0,521.6,527.8,524.8,521.6,528.6,524.6,342.8,60.5,72,5:43:55,31.5,0.98,0.92,0.68,0,6:18:04
23353620190106,N33,241,0,522,528.2,525,521.6,529,524.6,345.6,57.9,72.8,5:43:55,31.5,1,0.96,0.68,0.020761905,6:17:03
23353660190106,N33,170,0,522,527.8,524.8,521.4,528.6,524.8,355.4,55.9,70.7,5:43:55,31.5,0.96,0,0.66,0.020761905,6:23:25
23353700190106,N33,209,0,521.2,528.2,525,521.2,529.4,524.4,351,56.6,71.9,5:43:55,31.5,0.96,0.88,0.66,0.020761905,9:36:04
23353780190106,N33,196,0,521.8,528.2,524.8,521.6,529,524.4,351.6,56.6,72,5:43:55,31.3,0.96,0.9,0.66,0.020761905,6:22:07
23353880190106,N33,199,0,522,528,525,521.6,528.8,524.6,339.8,58.5,74.1,5:43:55,31.5,1.06,0,0.68,0, 
23353900190106,N33,217,0,521.8,528.6,524.8,521.2,529,524.8,343.2,59.2,74.1,5:43:55,32.4,1.04,0.98,0.7,0.020761905,6:15:01
23353930190106,N33,195,0,521.8,528.6,525,521.6,529,524.6,343.8,57.9,75.4,5:43:55,32.4,1,0,0.66,0.020761905,6:15:01
23354130200106,N33,189,0,641.2,641.2,524.6,639.4,639.4,524.2,328.8,58.5,74.1,2305:12:02,31.6,0.96,0.92,0.64,0.020761905,6:04:07
23354170200106,N33,214,0,521.6,528.4,525,521,529.2,524.8,346,57.9,75.9,5:43:55,31.4,1.02,0.94,0.66,0.020761905,6:18:04
23354210200106,N33,185,0,522,528.2,525,521.6,529.2,524.6,350.6,59.9,76.4,5:43:55,31.4,1,0.96,0.68,0.020761905,6:23:08
23354220200106,N33,220,0,521.4,528.2,525,521.4,529,524.6,348.8,60.5,74.6,5:43:55,31.4,1.02,0.94,0.68,0.020761905,6:21:06
23354230200106,N33,187,0,521.8,528.6,525,521.6,529,524.6,351.6,57.9,72,5:43:55,31.4,0.98,0.92,0.66,0.020761905,6:24:04
23354240200106,N33,283,0,521.8,528.6,524.8,521.6,529.6,524.8,343.2,58.6,75.7,5:43:55,31.4,1,0,0.66,0.020761905,6:13:04
